Round 1: average_iterations = 93.0, average_time = 14.383991241455078, average_reward = 0.0, time = 14.383991241455078, reward = 0.0
Round 2: average_iterations = 75.5, average_time = 12.772380828857422, average_reward = 0.0, time = 11.160770416259766, reward = 0.0
Round 3: average_iterations = 56.0, average_time = 9.606109619140625, average_reward = 0.0, time = 3.2735671997070312, reward = 0.0
Round 4: average_iterations = 52.0, average_time = 9.72682899236679, average_reward = 0.0, time = 10.088987112045288, reward = 0.0
Round 5: average_iterations = 56.0, average_time = 11.193569326400757, average_reward = 0.0, time = 17.06053066253662, reward = 0.0
Round 6: average_iterations = 54.666666666666664, average_time = 10.97844902674357, average_reward = 0.0, time = 9.902847528457642, reward = 0.0
Round 7: average_iterations = 62.0, average_time = 12.831373929977417, average_reward = 0.0, time = 23.948923349380493, reward = 0.0
Round 8: average_iterations = 63.375, average_time = 13.6984483897686, average_reward = 0.0, time = 19.767969608306885, reward = 0.0
Round 9: average_iterations = 65.77777777777777, average_time = 14.654884020487467, average_reward = 0.0, time = 22.306369066238403, reward = 0.0
Round 10: average_iterations = 68.8, average_time = 15.093971228599548, average_reward = 0.0, time = 19.045756101608276, reward = 0.0
Round 11: average_iterations = 68.72727272727273, average_time = 14.971251552755183, average_reward = 0.0, time = 13.744054794311523, reward = 0.0
Round 12: average_iterations = 72.58333333333333, average_time = 15.508930206298828, average_reward = 0.0, time = 21.42339539527893, reward = 0.0
Round 13: average_iterations = 73.3076923076923, average_time = 15.628622165093056, average_reward = 0.0, time = 17.06492567062378, reward = 0.0
Round 14: average_iterations = 70.0, average_time = 14.898094075066703, average_reward = 0.0, time = 5.401228904724121, reward = 0.0
Round 15: average_iterations = 67.66666666666667, average_time = 14.338790655136108, average_reward = 0.0, time = 6.508542776107788, reward = 0.0
Round 16: average_iterations = 68.4375, average_time = 14.450377479195595, average_reward = 0.0, time = 16.12417984008789, reward = 0.0
Round 17: average_iterations = 68.94117647058823, average_time = 14.512963701696957, average_reward = 0.0, time = 15.51434326171875, reward = 0.0
Round 18: average_iterations = 68.27777777777777, average_time = 14.541660560501946, average_reward = 0.0, time = 15.029507160186768, reward = 0.0
Round 19: average_iterations = 69.26315789473684, average_time = 14.788038969039917, average_reward = 0.0, time = 19.22285032272339, reward = 0.0
Round 20: average_iterations = 70.2, average_time = 15.045723032951354, average_reward = 0.0, time = 19.941720247268677, reward = 0.0
Round 21: average_iterations = 71.95238095238095, average_time = 15.427074069068546, average_reward = 0.0, time = 23.054094791412354, reward = 0.0
Round 22: average_iterations = 73.22727272727273, average_time = 15.665528828447515, average_reward = 0.0, time = 20.673078775405884, reward = 0.0
Round 23: average_iterations = 74.52173913043478, average_time = 15.848307226015175, average_reward = 0.0, time = 19.869431972503662, reward = 0.0
Round 24: average_iterations = 72.75, average_time = 15.417828152577082, average_reward = 0.0, time = 5.516809463500977, reward = 0.0
Round 25: average_iterations = 71.56, average_time = 15.148967247009278, average_reward = 0.0, time = 8.696305513381958, reward = 0.0
Round 26: average_iterations = 72.38461538461539, average_time = 15.581657345478352, average_reward = 0.0, time = 26.3989098072052, reward = 0.0
Round 27: average_iterations = 72.29629629629629, average_time = 15.533764309353298, average_reward = 0.0, time = 14.288545370101929, reward = 0.0
Round 28: average_iterations = 72.0, average_time = 15.494841175419944, average_reward = 0.0, time = 14.44391655921936, reward = 0.0
Round 29: average_iterations = 71.24137931034483, average_time = 15.40194796693736, average_reward = 0.0, time = 12.800938129425049, reward = 0.0
Round 30: average_iterations = 70.43333333333334, average_time = 15.211891333262125, average_reward = 0.0, time = 9.700248956680298, reward = 0.0
Round 31: average_iterations = 69.87096774193549, average_time = 15.045345721706267, average_reward = 0.0, time = 10.048977375030518, reward = 0.0
Round 32: average_iterations = 68.40625, average_time = 14.724798910319805, average_reward = 0.0, time = 4.7878477573394775, reward = 0.0
Round 33: average_iterations = 68.96969696969697, average_time = 14.825372471953884, average_reward = 0.0, time = 18.043726444244385, reward = 0.0
Round 34: average_iterations = 69.88235294117646, average_time = 15.084684512194466, average_reward = 0.0, time = 23.641981840133667, reward = 0.0
Round 35: average_iterations = 69.65714285714286, average_time = 15.009752682277135, average_reward = 0.0, time = 12.46207046508789, reward = 0.0
Round 36: average_iterations = 70.97222222222223, average_time = 15.245934327443441, average_reward = 0.0, time = 23.51229190826416, reward = 0.0
Round 37: average_iterations = 70.67567567567568, average_time = 15.26492699416908, average_reward = 0.0, time = 15.948662996292114, reward = 0.0
Round 38: average_iterations = 70.26315789473684, average_time = 15.21146305611259, average_reward = 0.0, time = 13.233297348022461, reward = 0.0
Round 39: average_iterations = 70.1025641025641, average_time = 15.278007837442251, average_reward = 0.0, time = 17.80670952796936, reward = 0.0
Round 40: average_iterations = 70.9, average_time = 15.516887784004211, average_reward = 0.0, time = 24.833205699920654, reward = 0.0
Round 41: average_iterations = 70.65853658536585, average_time = 15.434881565047473, average_reward = 0.0, time = 12.154632806777954, reward = 0.0
Round 42: average_iterations = 70.66666666666667, average_time = 15.386749755768548, average_reward = 0.0, time = 13.413345575332642, reward = 0.0
Round 43: average_iterations = 70.79069767441861, average_time = 15.45081382574037, average_reward = 0.0, time = 18.141504764556885, reward = 0.0
Round 44: average_iterations = 71.13636363636364, average_time = 15.60768770087849, average_reward = 0.0, time = 22.353264331817627, reward = 0.0
Round 45: average_iterations = 71.4888888888889, average_time = 15.763072294659084, average_reward = 0.0, time = 22.59999442100525, reward = 0.0
Round 46: average_iterations = 69.95652173913044, average_time = 15.424427789190542, average_reward = 0.0, time = 0.1854250431060791, reward = 0.0
Round 47: average_iterations = 69.80851063829788, average_time = 15.36457843983427, average_reward = 0.0, time = 12.6115083694458, reward = 0.0
