Round 49: average_iterations = 31.489795918367346, average_time = 2.735928248385994, average_reward = 0.0003673469387755102, time = 3.027359962463379, reward = 0.0
Round 50: average_iterations = 31.48, average_time = 2.7374018383026124, average_reward = 0.00035999999999999997, time = 2.809607744216919, reward = 0.0
Round 51: average_iterations = 31.372549019607842, average_time = 2.7309763431549072, average_reward = 0.0003529411764705882, time = 2.4097015857696533, reward = 0.0
Round 52: average_iterations = 31.71153846153846, average_time = 2.778770483457125, average_reward = 0.00034615384615384613, time = 5.216271638870239, reward = 0.0
Round 53: average_iterations = 31.92452830188679, average_time = 2.7973122551756084, average_reward = 0.00033962264150943393, time = 3.761484384536743, reward = 0.0
Round 54: average_iterations = 32.333333333333336, average_time = 2.8541592536149203, average_reward = 0.0003333333333333333, time = 5.8670501708984375, reward = 0.0
Round 55: average_iterations = 31.763636363636362, average_time = 2.8042831897735594, average_reward = 0.00032727272727272726, time = 0.11097574234008789, reward = 0.0
Round 56: average_iterations = 32.142857142857146, average_time = 2.837462076119014, average_reward = 0.0003214285714285714, time = 4.6623008251190186, reward = 0.0
Round 57: average_iterations = 31.94736842105263, average_time = 2.823980507097746, average_reward = 0.0003157894736842105, time = 2.0690126419067383, reward = 0.0
Round 58: average_iterations = 31.775862068965516, average_time = 2.8089886780442863, average_reward = 0.00031034482758620686, time = 1.9544544219970703, reward = 0.0
Round 59: average_iterations = 31.64406779661017, average_time = 2.796601861210193, average_reward = 0.0006440677966101694, time = 2.0781664848327637, reward = 0.02
Round 60: average_iterations = 31.133333333333333, average_time = 2.751696968078613, average_reward = 0.0006333333333333333, time = 0.10230827331542969, reward = 0.0
Round 61: average_iterations = 31.524590163934427, average_time = 2.7865927727496036, average_reward = 0.0006229508196721311, time = 4.880341053009033, reward = 0.0
Round 62: average_iterations = 31.612903225806452, average_time = 2.8081394010974514, average_reward = 0.0006129032258064516, time = 4.122483730316162, reward = 0.0
Round 63: average_iterations = 31.571428571428573, average_time = 2.803139883374411, average_reward = 0.0006031746031746032, time = 2.4931697845458984, reward = 0.0
Round 64: average_iterations = 31.09375, average_time = 2.760880321264267, average_reward = 0.00059375, time = 0.09852790832519531, reward = 0.0
Round 65: average_iterations = 30.784615384615385, average_time = 2.7314025475428654, average_reward = 0.0005846153846153846, time = 0.844825029373169, reward = 0.0
Round 66: average_iterations = 30.833333333333332, average_time = 2.7362440065904097, average_reward = 0.0005757575757575757, time = 3.050938844680786, reward = 0.0
Round 67: average_iterations = 30.98507462686567, average_time = 2.7551131995756233, average_reward = 0.0005671641791044776, time = 4.0004799365997314, reward = 0.0
Round 68: average_iterations = 31.11764705882353, average_time = 2.7773649236735176, average_reward = 0.0005588235294117647, time = 4.268230438232422, reward = 0.0
Round 69: average_iterations = 31.536231884057973, average_time = 2.8105962241905322, average_reward = 0.0005507246376811594, time = 5.070324659347534, reward = 0.0
Round 70: average_iterations = 31.87142857142857, average_time = 2.8439213037490845, average_reward = 0.0005428571428571429, time = 5.143351793289185, reward = 0.0
Round 71: average_iterations = 31.830985915492956, average_time = 2.843769916346375, average_reward = 0.0005352112676056338, time = 2.8331727981567383, reward = 0.0
Round 72: average_iterations = 32.05555555555556, average_time = 2.862431910302904, average_reward = 0.0005277777777777777, time = 4.187433481216431, reward = 0.0
Round 73: average_iterations = 31.63013698630137, average_time = 2.824706413974501, average_reward = 0.0005205479452054794, time = 0.10847067832946777, reward = 0.0
Round 74: average_iterations = 31.945945945945947, average_time = 2.8536196753785417, average_reward = 0.0005135135135135135, time = 4.964287757873535, reward = 0.0
Round 75: average_iterations = 31.533333333333335, average_time = 2.8168487485249836, average_reward = 0.0005066666666666667, time = 0.09580016136169434, reward = 0.0
Round 76: average_iterations = 31.855263157894736, average_time = 2.8448637755293595, average_reward = 0.0005, time = 4.945990800857544, reward = 0.0
Round 77: average_iterations = 31.883116883116884, average_time = 2.8438541579556156, average_reward = 0.0004935064935064935, time = 2.767123222351074, reward = 0.0
Round 78: average_iterations = 31.692307692307693, average_time = 2.8265652717688146, average_reward = 0.00048717948717948715, time = 1.4953210353851318, reward = 0.0
Round 79: average_iterations = 31.82278481012658, average_time = 2.8369923422608196, average_reward = 0.0004810126582278481, time = 3.650303840637207, reward = 0.0
Round 80: average_iterations = 31.8875, average_time = 2.848156490921974, average_reward = 0.000475, time = 3.7301242351531982, reward = 0.0
Round 81: average_iterations = 32.18518518518518, average_time = 2.8724431461758084, average_reward = 0.00046913580246913576, time = 4.815375566482544, reward = 0.0
Round 82: average_iterations = 32.41463414634146, average_time = 2.8956086839117656, average_reward = 0.00046341463414634144, time = 4.772017240524292, reward = 0.0
Round 83: average_iterations = 32.433734939759034, average_time = 2.8953869630055253, average_reward = 0.0004578313253012048, time = 2.8772058486938477, reward = 0.0
Round 84: average_iterations = 32.42857142857143, average_time = 2.8963935318447294, average_reward = 0.00045238095238095237, time = 2.9799387454986572, reward = 0.0
Round 85: average_iterations = 32.423529411764704, average_time = 2.9030332986046288, average_reward = 0.0004470588235294118, time = 3.4607737064361572, reward = 0.0
Round 86: average_iterations = 32.45348837209303, average_time = 2.906312729037085, average_reward = 0.00044186046511627907, time = 3.1850643157958984, reward = 0.0
Round 87: average_iterations = 32.39080459770115, average_time = 2.902645979804554, average_reward = 0.0004367816091954023, time = 2.5873055458068848, reward = 0.0
Round 88: average_iterations = 32.30681818181818, average_time = 2.8974476727572354, average_reward = 0.0004318181818181818, time = 2.445194959640503, reward = 0.0
Round 89: average_iterations = 32.1123595505618, average_time = 2.8792892439981523, average_reward = 0.00042696629213483144, time = 1.2813475131988525, reward = 0.0
Round 90: average_iterations = 31.766666666666666, average_time = 2.8485523382822673, average_reward = 0.0004222222222222222, time = 0.11296772956848145, reward = 0.0
Round 91: average_iterations = 31.824175824175825, average_time = 2.857783935882233, average_reward = 0.0004175824175824176, time = 3.6886277198791504, reward = 0.0
Round 92: average_iterations = 31.77173913043478, average_time = 2.856997435507567, average_reward = 0.00041304347826086953, time = 2.785425901412964, reward = 0.0
Round 93: average_iterations = 31.806451612903224, average_time = 2.8606815850862892, average_reward = 0.0004086021505376344, time = 3.1996233463287354, reward = 0.0
Round 94: average_iterations = 32.1063829787234, average_time = 2.883124163810243, average_reward = 0.0004042553191489362, time = 4.9702839851379395, reward = 0.0
Round 95: average_iterations = 31.873684210526317, average_time = 2.8612460763830887, average_reward = 0.00039999999999999996, time = 0.8047058582305908, reward = 0.0
Round 96: average_iterations = 31.8125, average_time = 2.854985090593497, average_reward = 0.0003958333333333333, time = 2.2601914405822754, reward = 0.0
Round 97: average_iterations = 31.75257731958763, average_time = 2.849185410234117, average_reward = 0.00039175257731958763, time = 2.2924160957336426, reward = 0.0
Round 98: average_iterations = 31.70408163265306, average_time = 2.841369738384169, average_reward = 0.0003877551020408163, time = 2.083249568939209, reward = 0.0
Round 99: average_iterations = 31.67676767676768, average_time = 2.841808138471661, average_reward = 0.00038383838383838383, time = 2.8847713470458984, reward = 0.0
Round 100: average_iterations = 31.85, average_time = 2.858803651332855, average_reward = 0.00037999999999999997, time = 4.5413594245910645, reward = 0.0
