Round 49: average_iterations = 23.244897959183675, average_time = 50.83620691786007, average_reward = 0.30681632653061225, time = 1.174778938293457, reward = 0.0
Round 50: average_iterations = 25.68, average_time = 56.04928415298462, average_reward = 0.31538, time = 311.4900686740875, reward = 0.735
Round 51: average_iterations = 25.19607843137255, average_time = 54.9742117582583, average_reward = 0.30919607843137253, time = 1.2205920219421387, reward = 0.0
Round 52: average_iterations = 24.73076923076923, average_time = 53.9398028758856, average_reward = 0.30325, time = 1.1849498748779297, reward = 0.0
Round 53: average_iterations = 24.28301886792453, average_time = 52.94455852148668, average_reward = 0.29752830188679247, time = 1.19185209274292, reward = 0.0
Round 54: average_iterations = 23.85185185185185, average_time = 51.984494068004466, average_reward = 0.2920185185185185, time = 1.1010780334472656, reward = 0.0
Round 55: average_iterations = 23.436363636363637, average_time = 51.061351186578925, average_reward = 0.2867090909090909, time = 1.2116355895996094, reward = 0.0
Round 56: average_iterations = 24.482142857142858, average_time = 53.4597441979817, average_reward = 0.29475, time = 185.37135982513428, reward = 0.737
Round 57: average_iterations = 24.75438596491228, average_time = 53.822109498475726, average_reward = 0.30257894736842106, time = 74.11456632614136, reward = 0.741
Round 58: average_iterations = 24.344827586206897, average_time = 52.91518587490608, average_reward = 0.29736206896551726, time = 1.2205393314361572, reward = 0.0
Round 59: average_iterations = 24.11864406779661, average_time = 52.36526902247284, average_reward = 0.3042881355932203, time = 20.470091581344604, reward = 0.706
Round 60: average_iterations = 23.733333333333334, average_time = 51.512774272759756, average_reward = 0.29921666666666663, time = 1.2155840396881104, reward = 0.0
Round 61: average_iterations = 23.360655737704917, average_time = 50.68787067444598, average_reward = 0.29431147540983604, time = 1.1936547756195068, reward = 0.0
Round 62: average_iterations = 23.0, average_time = 49.889829666383804, average_reward = 0.2895645161290322, time = 1.2093281745910645, reward = 0.0
Round 63: average_iterations = 23.444444444444443, average_time = 50.77916758022611, average_reward = 0.2964920634920635, time = 105.9181182384491, reward = 0.726
Round 64: average_iterations = 23.09375, average_time = 50.00369017571211, average_reward = 0.291859375, time = 1.148613691329956, reward = 0.0
Round 65: average_iterations = 22.753846153846155, average_time = 49.25558050962595, average_reward = 0.28736923076923077, time = 1.3765618801116943, reward = 0.0
Round 66: average_iterations = 22.424242424242426, average_time = 48.52781558398044, average_reward = 0.2830151515151515, time = 1.223095417022705, reward = 0.0
Round 67: average_iterations = 22.104477611940297, average_time = 47.82242915523586, average_reward = 0.2787910447761194, time = 1.2669248580932617, reward = 0.0
Round 68: average_iterations = 22.852941176470587, average_time = 49.62324260964113, average_reward = 0.2853970588235294, time = 170.2777440547943, reward = 0.728
Round 69: average_iterations = 25.681159420289855, average_time = 55.910917244095735, average_reward = 0.2916086956521739, time = 483.47279238700867, reward = 0.714
Round 70: average_iterations = 26.15714285714286, average_time = 56.88691735608237, average_reward = 0.2978285714285714, time = 124.2309250831604, reward = 0.727
Round 71: average_iterations = 25.802816901408452, average_time = 56.102321134486665, average_reward = 0.2936338028169014, time = 1.1805856227874756, reward = 0.0
Round 72: average_iterations = 25.458333333333332, average_time = 55.339727054039635, average_reward = 0.28955555555555557, time = 1.195547342300415, reward = 0.0
Round 73: average_iterations = 25.273972602739725, average_time = 54.774232090336, average_reward = 0.2943013698630137, time = 14.058594703674316, reward = 0.636
Round 74: average_iterations = 24.945945945945947, average_time = 54.049851201676034, average_reward = 0.2903243243243243, time = 1.170046329498291, reward = 0.0
Round 75: average_iterations = 25.0, average_time = 54.16865376472473, average_reward = 0.2961733333333333, time = 62.96004343032837, reward = 0.729
Round 76: average_iterations = 24.68421052631579, average_time = 53.47133970888037, average_reward = 0.29227631578947366, time = 1.1727855205535889, reward = 0.0
Round 77: average_iterations = 25.038961038961038, average_time = 54.20976011164777, average_reward = 0.2979480519480519, time = 110.3297107219696, reward = 0.729
Round 78: average_iterations = 25.653846153846153, average_time = 55.48902149995168, average_reward = 0.3034743589743589, time = 153.99214839935303, reward = 0.729
Round 79: average_iterations = 25.746835443037973, average_time = 55.66751588145389, average_reward = 0.3090379746835442, time = 69.5900776386261, reward = 0.743
Round 80: average_iterations = 25.4375, average_time = 54.986531817913054, average_reward = 0.3051749999999999, time = 1.1887907981872559, reward = 0.0
Round 81: average_iterations = 25.135802469135804, average_time = 54.323005635061385, average_reward = 0.30140740740740735, time = 1.2409110069274902, reward = 0.0
Round 82: average_iterations = 24.841463414634145, average_time = 53.674989659611775, average_reward = 0.2977317073170731, time = 1.1856956481933594, reward = 0.0
Round 83: average_iterations = 24.903614457831324, average_time = 53.760029562984606, average_reward = 0.3026626506024096, time = 60.733301639556885, reward = 0.707
Round 84: average_iterations = 24.952380952380953, average_time = 53.82659366868791, average_reward = 0.3078928571428571, time = 59.35141444206238, reward = 0.742
Round 85: average_iterations = 24.67058823529412, average_time = 53.2088119506836, average_reward = 0.30427058823529407, time = 1.3151476383209229, reward = 0.0
Round 86: average_iterations = 24.3953488372093, average_time = 52.60553107982458, average_reward = 0.3007325581395348, time = 1.3266570568084717, reward = 0.0
Round 87: average_iterations = 24.126436781609197, average_time = 52.01334775179282, average_reward = 0.29727586206896545, time = 1.0855815410614014, reward = 0.0
Round 88: average_iterations = 23.863636363636363, average_time = 51.43642009659247, average_reward = 0.2938977272727272, time = 1.2437140941619873, reward = 0.0
Round 89: average_iterations = 23.60674157303371, average_time = 50.87172230977691, average_reward = 0.2905955056179775, time = 1.1783170700073242, reward = 0.0
Round 90: average_iterations = 24.377777777777776, average_time = 52.53835922082265, average_reward = 0.29558888888888885, time = 200.86904430389404, reward = 0.74
Round 91: average_iterations = 24.12087912087912, average_time = 51.97607735749129, average_reward = 0.2923406593406593, time = 1.3707096576690674, reward = 0.0
Round 92: average_iterations = 23.869565217391305, average_time = 51.424577516058214, average_reward = 0.28916304347826083, time = 1.2380919456481934, reward = 0.0
Round 93: average_iterations = 23.623655913978496, average_time = 50.88476571729106, average_reward = 0.28605376344086014, time = 1.2220802307128906, reward = 0.0
Round 94: average_iterations = 23.382978723404257, average_time = 50.35499476879201, average_reward = 0.28301063829787226, time = 1.086296558380127, reward = 0.0
Round 95: average_iterations = 23.526315789473685, average_time = 50.5845617419795, average_reward = 0.287778947368421, time = 72.1638572216034, reward = 0.736
Round 96: average_iterations = 23.291666666666668, average_time = 50.06989024579525, average_reward = 0.28478124999999993, time = 1.176098108291626, reward = 0.0
Round 97: average_iterations = 23.061855670103093, average_time = 49.565406406048645, average_reward = 0.2818453608247422, time = 1.1349577903747559, reward = 0.0
Round 98: average_iterations = 22.93877551020408, average_time = 49.23607238214843, average_reward = 0.28636734693877547, time = 17.290672063827515, reward = 0.725
Round 99: average_iterations = 22.717171717171716, average_time = 48.75047433978379, average_reward = 0.28347474747474743, time = 1.1618661880493164, reward = 0.0
Round 100: average_iterations = 22.5, average_time = 48.275211470127104, average_reward = 0.28063999999999995, time = 1.2241873741149902, reward = 0.0
