Round 1: average_iterations = 9.0, average_time = 83.47251081466675, average_reward = 0.721, time = 83.47251081466675, reward = 0.721
Round 2: average_iterations = 7.0, average_time = 60.74423325061798, average_reward = 0.731, time = 38.015955686569214, reward = 0.741
Round 3: average_iterations = 9.333333333333334, average_time = 84.58151292800903, average_reward = 0.7393333333333333, time = 132.25607228279114, reward = 0.756
Round 4: average_iterations = 8.5, average_time = 74.63237529993057, average_reward = 0.72925, time = 44.78496241569519, reward = 0.699
Round 5: average_iterations = 7.8, average_time = 66.77620601654053, average_reward = 0.7285999999999999, time = 35.35152888298035, reward = 0.726
Round 6: average_iterations = 7.166666666666667, average_time = 60.36181370417277, average_reward = 0.7236666666666666, time = 28.289852142333984, reward = 0.699
Round 7: average_iterations = 6.857142857142857, average_time = 57.168064730507986, average_reward = 0.7265714285714285, time = 38.00557088851929, reward = 0.744
Round 8: average_iterations = 6.5, average_time = 54.01145640015602, average_reward = 0.7248749999999999, time = 31.91519808769226, reward = 0.713
Round 9: average_iterations = 6.111111111111111, average_time = 50.39995810720656, average_reward = 0.726, time = 21.50797176361084, reward = 0.735
Round 10: average_iterations = 5.9, average_time = 48.15148482322693, average_reward = 0.7256, time = 27.91522526741028, reward = 0.722
Round 11: average_iterations = 5.818181818181818, average_time = 47.51741016994823, average_reward = 0.7235454545454546, time = 41.176663637161255, reward = 0.703
Round 12: average_iterations = 6.166666666666667, average_time = 51.844164629777275, average_reward = 0.7232500000000001, time = 99.43846368789673, reward = 0.72
Round 13: average_iterations = 6.538461538461538, average_time = 56.31450295448303, average_reward = 0.7243076923076923, time = 109.95856285095215, reward = 0.737
Round 14: average_iterations = 6.285714285714286, average_time = 53.96785019125257, average_reward = 0.7240714285714286, time = 23.461364269256592, reward = 0.721
Round 15: average_iterations = 6.2, average_time = 53.20640018781026, average_reward = 0.7245333333333334, time = 42.54610013961792, reward = 0.731
Round 16: average_iterations = 6.0, average_time = 51.62357923388481, average_reward = 0.7238125, time = 27.88126492500305, reward = 0.713
Round 17: average_iterations = 5.882352941176471, average_time = 50.94200608309578, average_reward = 0.7223529411764705, time = 40.03683567047119, reward = 0.699
Round 18: average_iterations = 5.833333333333333, average_time = 50.557624485757614, average_reward = 0.7223333333333333, time = 44.02313733100891, reward = 0.722
Round 19: average_iterations = 5.7368421052631575, average_time = 49.7740660215679, average_reward = 0.7240526315789474, time = 35.670013666152954, reward = 0.755
Round 20: average_iterations = 5.75, average_time = 49.950478649139406, average_reward = 0.7237, time = 53.30231857299805, reward = 0.717
Round 21: average_iterations = 5.714285714285714, average_time = 49.56420260383969, average_reward = 0.7244761904761905, time = 41.83868169784546, reward = 0.74
Round 22: average_iterations = 6.0, average_time = 52.975157889452845, average_reward = 0.7246818181818182, time = 124.6052188873291, reward = 0.729
Round 23: average_iterations = 6.217391304347826, average_time = 55.7391342598459, average_reward = 0.7248695652173913, time = 116.54661440849304, reward = 0.729
Round 24: average_iterations = 6.125, average_time = 54.78052334984144, average_reward = 0.7250416666666667, time = 32.73247241973877, reward = 0.729
Round 25: average_iterations = 6.32, average_time = 57.14646690368652, average_reward = 0.72652, time = 113.92911219596863, reward = 0.762
Round 26: average_iterations = 6.1923076923076925, average_time = 55.82392357862913, average_reward = 0.7259615384615384, time = 22.760340452194214, reward = 0.712
Round 27: average_iterations = 6.333333333333333, average_time = 57.23773347889936, average_reward = 0.7273333333333334, time = 93.9967908859253, reward = 0.763
Round 28: average_iterations = 6.928571428571429, average_time = 63.75613623006003, average_reward = 0.7275357142857144, time = 239.75301051139832, reward = 0.733
Round 29: average_iterations = 6.862068965517241, average_time = 62.83301442244957, average_reward = 0.726896551724138, time = 36.98560380935669, reward = 0.709
Round 30: average_iterations = 6.733333333333333, average_time = 61.44938588142395, average_reward = 0.7269000000000001, time = 21.324158191680908, reward = 0.727
Round 31: average_iterations = 6.67741935483871, average_time = 60.62850715268043, average_reward = 0.7270645161290323, time = 36.002145290374756, reward = 0.732
Round 32: average_iterations = 6.6875, average_time = 60.49956541508436, average_reward = 0.72765625, time = 56.50237154960632, reward = 0.746
Round 33: average_iterations = 6.696969696969697, average_time = 60.33450706077345, average_reward = 0.7276666666666667, time = 55.0526397228241, reward = 0.728
Round 34: average_iterations = 6.647058823529412, average_time = 59.67855016624226, average_reward = 0.7273823529411765, time = 38.03197264671326, reward = 0.718
Round 35: average_iterations = 6.6, average_time = 58.99541427067348, average_reward = 0.7272571428571428, time = 35.76879382133484, reward = 0.723
Round 36: average_iterations = 6.527777777777778, average_time = 58.17453584406111, average_reward = 0.7275, time = 29.443790912628174, reward = 0.736
Round 37: average_iterations = 6.621621621621622, average_time = 58.90076716526134, average_reward = 0.728027027027027, time = 85.04509472846985, reward = 0.747
Round 38: average_iterations = 6.552631578947368, average_time = 58.04593093144266, average_reward = 0.7287105263157896, time = 26.416990280151367, reward = 0.754
