Round 1: average_iterations = 121.0, average_time = 69.9060959815979, average_reward = 0.0, time = 69.9060959815979, reward = 0.0
Round 2: average_iterations = 123.5, average_time = 79.48857796192169, average_reward = 0.0, time = 89.07105994224548, reward = 0.0
Round 3: average_iterations = 116.0, average_time = 71.32754635810852, average_reward = 0.0, time = 55.00548315048218, reward = 0.0
Round 4: average_iterations = 120.75, average_time = 79.2280832529068, average_reward = 0.0, time = 102.92969393730164, reward = 0.0
Round 5: average_iterations = 99.0, average_time = 64.63683242797852, average_reward = 0.128, time = 6.271829128265381, reward = 0.64
Round 6: average_iterations = 96.0, average_time = 62.93623697757721, average_reward = 0.10666666666666667, time = 54.43325972557068, reward = 0.0
Round 7: average_iterations = 106.0, average_time = 67.72967754091535, average_reward = 0.09142857142857143, time = 96.49032092094421, reward = 0.0
Round 8: average_iterations = 102.625, average_time = 65.95908364653587, average_reward = 0.08, time = 53.56492638587952, reward = 0.0
Round 9: average_iterations = 105.33333333333333, average_time = 68.73076711760626, average_reward = 0.07111111111111111, time = 90.90423488616943, reward = 0.0
Round 10: average_iterations = 101.1, average_time = 66.9686753988266, average_reward = 0.13, time = 51.10984992980957, reward = 0.66
Round 11: average_iterations = 97.0, average_time = 64.77294553409924, average_reward = 0.18363636363636363, time = 42.81564688682556, reward = 0.72
Round 12: average_iterations = 94.66666666666667, average_time = 64.03242099285126, average_reward = 0.22541666666666668, time = 55.886651039123535, reward = 0.685
Round 13: average_iterations = 88.3076923076923, average_time = 59.60549040941092, average_reward = 0.2560769230769231, time = 6.482323408126831, reward = 0.624
Round 14: average_iterations = 90.5, average_time = 60.467895082065034, average_reward = 0.2377857142857143, time = 71.6791558265686, reward = 0.0
Round 15: average_iterations = 95.4, average_time = 64.19065016110738, average_reward = 0.22193333333333334, time = 116.3092212677002, reward = 0.0
Round 16: average_iterations = 93.25, average_time = 63.53135322034359, average_reward = 0.2543125, time = 53.64189910888672, reward = 0.74
Round 17: average_iterations = 95.76470588235294, average_time = 66.48841675590066, average_reward = 0.28147058823529414, time = 113.80143332481384, reward = 0.716
Round 18: average_iterations = 97.38888888888889, average_time = 67.38597635428111, average_reward = 0.26583333333333337, time = 82.64448952674866, reward = 0.0
Round 19: average_iterations = 98.21052631578948, average_time = 68.88662226576554, average_reward = 0.2518421052631579, time = 95.89824867248535, reward = 0.0
Round 20: average_iterations = 97.7, average_time = 68.68548573255539, average_reward = 0.2767, time = 64.8638916015625, reward = 0.749
